"X1","X3","X4","X13","X14","X15","X16","X18","X31","X35","X36","X37","X40","X53","X54","X55","X56","X57","X58","X60","X61","X64","X66","X67","X68","X69","X70","X80","X81","X82","X83","X88","X89","X90","X92","X93","X96","X105","X116","X117","X123","X124","X126","X138","X141","X153","X163","X164","X173","X177","X178","X179","X180","X182","X183","X192","X195","X196","X197","X198","Species1"
0,0,0,0,0,0,0,0,0,4,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Parolinia intermedia"
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"Patellifolia patellaris"
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Patellifolia webbiana"
0,0,0,0,0,0,0,1,70,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,2,0,0,6,13,0,0,0,0,1,"Periploca laevigata"
3,5,9,2,4,1,0,0,0,0,0,1,0,1,3,4,1,0,0,3,2,0,2,3,1,7,6,3,0,32,0,0,0,0,1,3,6,0,0,0,6,0,3,0,0,0,2,0,0,6,5,0,9,3,0,0,0,1,2,2,"Plocama pendula"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Polycarpaea divaricata"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Polycarpaea nivea"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Polygonum maritimum"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rhamnus crenulata"
0,0,0,0,14,0,0,0,3,0,12,0,6,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,13,3,0,0,0,1,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,2,"Rubia fruticosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Rumex lunaria"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Salsola divaricata"
0,0,0,0,0,0,0,0,0,19,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,1,8,0,3,1,0,5,2,8,26,0,0,0,0,3,0,0,0,"Schizogyne sericea"
0,0,0,0,1,1,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Autonoe haemorrhoidalis"
0,0,0,0,22,15,8,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,"Autonoe latifolia"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"Tetraena fontanesii"
0,0,0,0,0,0,0,0,0,3,10,2,0,0,0,0,0,0,0,0,17,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,"Neochamaelea pulverulenta"
